,5/2009,
.PDF,22912,
.HTM,33391,
.GIF,64564,
.JS,6174,
.TXT,580,
.ICO,7088,
.CSS,6617,
.JPG,11425,
DIRECTORY,1301,
.DOC,1415,
.HTML,1174,
.XLS,986,
.PNG,136,
.ASPX,12,
.XML,29,
.PPT,232,
.RTF,1,
.DLL/_VTI_RPC,75,
.DLL,494,
.BMP,16,
.ASX,25,
.SHTM,70,
.GOV/EHP/LEAD,1,
.AI,9,
.ASP,2,
.WMF,1,
.HTM+,3,
.TIF,2,
.CSC,2,
.PPS,10,
.GOV,3,
.COMMISSION,1,
.DOT,2,
.EPS,4,
.,10,
.PHP,116,
.PDF++/,7,
.HTM/,6,
.GOV/HEALTH/ZOONOTICS,1,
.HTM),2,
.PDF/,12,
.RAM,6,
.IDC,1,
.CGI,3,
.JS></SCRIPT>,1,
.HTMLINKS,2,
.SWF,126,
.HTLM,1,
.WMZ,3,
.HTML+,2,
.MOV,2,
.MPG,10,
.HTM+M,1,
.HYML-22K-,1,
.ZIP,1,
.PUB,1,
.MP3,11,
.HTM/T_PARENT,3,
.COM/RABIESAWARE,1,
.CFM,1,
.HTMHTTP:/,1,
.FSL,1,
.GOV/DOH/EMPDIR/,1,
.HTM]/,1,
.INI,1,
.PDF),1,
.HTM>,1,
.JPEG,2,

